Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /api/events,170143,0,68,66.51071913124017,8.054124999034684,206.33425000414718,71.0,2880.8807582880163,0.0,68,71,73,75,78,82,85,88,97,180,210
,Aggregated,170143,0,68,66.51071913124017,8.054124999034684,206.33425000414718,71.0,2880.8807582880163,0.0,68,71,73,75,78,82,85,88,97,180,210
